target,test_family,n_obs,r2_base,r2_full,delta_r2,permutation_p,fdr_q,top_term,top_beta,effect_sign,low_confidence,base_terms,test_terms,analysis_family,target_class,natural_state,natural_state_token,channel_group,channel_group_token,band,band_token,feature_scope
lfp_acad_gamma_whole_slice_norm,bias_block,526,0.31394829144363234,0.35506954144095115,0.04112124999731881,0.07892107892107893,0.47499670141179573,bias_left,-0.10543406474656128,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""bias_left"", ""bias_right""]",lfp_behavior_modulation,global_lfp,global,global,ACAd,acad,gamma,gamma,whole_slice_norm
lfp_acad_delta_whole_slice_norm,rule_block,526,0.35130833413774465,0.37216225213674736,0.020853917999002713,0.08191808191808192,0.47499670141179573,rule_reversal_frequency,-0.12754385095951365,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,global_lfp,global,global,ACAd,acad,delta,delta,whole_slice_norm
state_rem_mos_delta_whole_slice_norm,rule_block,350,0.2955370082994814,0.3078960931661465,0.012359084866665149,0.08691308691308691,0.47499670141179573,rule_reversal_frequency,-0.24515258568129408,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,REM,rem,MOs,mos,delta,delta,whole_slice_norm
state_wake_ila_gamma_whole_slice_norm,behavior_all,526,0.03766252471539444,0.1311340975462817,0.09347157283088725,0.0899100899100899,0.47499670141179573,rule_reversal_frequency,-0.18371583643165446,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned"", ""bias_left"", ""bias_right""]",lfp_behavior_modulation,state_lfp,Wake,wake,ILA,ila,gamma,gamma,whole_slice_norm
state_working_pl_delta_whole_slice_norm,learning_stage_block,204,0.13444387373390865,0.17936970696706644,0.0449258332331578,0.0899100899100899,0.47499670141179573,perf_learned,-0.4164788958377525,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,state_lfp,Working,working,PL,pl,delta,delta,whole_slice_norm
state_rem_ila_theta_whole_slice_norm,bias_block,350,0.3171542458559191,0.33648545516527906,0.019331209309359942,0.09090909090909091,0.47499670141179573,bias_right,-0.11720494707473517,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""bias_left"", ""bias_right""]",lfp_behavior_modulation,state_lfp,REM,rem,ILA,ila,theta,theta,whole_slice_norm
lfp_pl_theta_whole_slice_norm,rule_block,526,0.4065528199229389,0.42069819724475266,0.014145377321813757,0.0919080919080919,0.47499670141179573,rule_reversal_frequency,-0.16830108311783015,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,global_lfp,global,global,PL,pl,theta,theta,whole_slice_norm
lfp_pl_gamma_whole_slice_norm,behavior_all,526,0.03268662369783626,0.13965799329656658,0.10697136959873033,0.1008991008991009,0.47499670141179573,rule_reversal_frequency,-0.3259017636853145,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned"", ""bias_left"", ""bias_right""]",lfp_behavior_modulation,global_lfp,global,global,PL,pl,gamma,gamma,whole_slice_norm
state_rem_pl_gamma_whole_slice_norm,bias_block,350,0.06059414967447818,0.11828774358187,0.057693593907391816,0.1108891108891109,0.4827172827172827,bias_left,-0.47453663916967587,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""bias_left"", ""bias_right""]",lfp_behavior_modulation,state_lfp,REM,rem,PL,pl,gamma,gamma,whole_slice_norm
state_wake_acad_delta_whole_slice_norm,rule_block,526,0.21164829395632967,0.2316421004274516,0.019993806471121922,0.1108891108891109,0.4827172827172827,rule_reversal_frequency,-0.14072477584310283,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,Wake,wake,ACAd,acad,delta,delta,whole_slice_norm
